Data set,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
Test set,"InChI=1S/C54H75NO7/c1-7-54(61)24-22-43-40-16-12-34-27-37(56)15-17-39(34)49(40)41(31-52(43,54)4)33-10-13-36(14-11-33)55(6)25-8-26-62-38-21-23-51(3)35(28-38)29-46(57)50-44-19-18-42(32(2)9-20-48(59)60)53(44,5)47(58)30-45(50)51/h1,10-11,13-14,27,32,35,38,40-47,50,57-58,61H,8-9,12,15-26,28-31H2,2-6H3,(H,59,60)/t32-,35+,38?,40+,41-,42-,43+,44+,45+,46-,47+,50+,51+,52+,53-,54+/m1/s1",8.958607,104039382,,,,8.54,,,,,
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.420216,172097179,8.491,8.366,8.43,8.707,8.442,8.43,8.43,8.43,8.43
Test set,"InChI=1S/C22H22ClNO/c1-5-7-17-21-14(20-15(23)8-6-9-18(20)25-17)10-11-16-19(21)13(2)12-22(3,4)24-16/h5-6,8-12,17,24H,1,7H2,2-4H3",7.21467,104016897,6.793,7.071,6.994,6.769,6.998,6.994,6.994,6.994,6.994
Test set,"InChI=1S/C22H19NO/c1-24-18-13-11-17(12-14-18)22(16-7-3-2-4-8-16)20-15-23-21-10-6-5-9-19(20)21/h2-15,22-23H,1H3",6.320572,125087039,5.888,5.543,6.695,6.918,6.298,6.695,6.695,6.695,6.695
Test set,"InChI=1S/C18H17FN2O2/c1-11-10-18(2,3)20-17-5-4-12(8-16(11)17)13-6-14(19)9-15(7-13)21(22)23/h4-10,20H,1-3H3",8.30103,103961144,7.429,7.262,7.385,7.956,7.516,7.385,7.385,7.385,7.385
Test set,"InChI=1S/C23H24ClNO2/c1-6-7-17-20-14(21-18(27-17)11-9-15(24)22(21)26-5)8-10-16-19(20)13(2)12-23(3,4)25-16/h6,8-12,17,25H,1,7H2,2-5H3",7.537602,104016906,6.176,6.392,6.497,6.121,6.112,6.497,6.497,6.497,6.497
Test set,"InChI=1S/C23H24FNO2/c1-6-7-17-20-14(21-18(27-17)11-9-15(24)22(21)26-5)8-10-16-19(20)13(2)12-23(3,4)25-16/h6,8-12,17,25H,1,7H2,2-5H3",6.69897,104016898,7.047,6.814,7.171,6.306,7.004,7.171,7.171,7.171,7.171
Test set,"InChI=1S/C18H18N2O2/c1-12-11-18(2,3)19-17-8-7-14(10-16(12)17)13-5-4-6-15(9-13)20(21)22/h4-11,19H,1-3H3",7.69897,103961143,7.234,7.414,7.497,7.553,7.591,7.497,7.497,7.497,7.497
Test set,"InChI=1S/C53H73NO7/c1-7-53(60)23-21-42-39-15-11-33-26-36(55)14-16-38(33)48(39)40(30-51(42,53)4)32-9-12-35(13-10-32)54(6)24-25-61-37-20-22-50(3)34(27-37)28-45(56)49-43-18-17-41(31(2)8-19-47(58)59)52(43,5)46(57)29-44(49)50/h1,9-10,12-13,26,31,34,37,39-46,49,56-57,60H,8,11,14-25,27-30H2,2-6H3,(H,58,59)/t31-,34+,37?,39+,40-,41-,42+,43+,44+,45-,46+,49+,50+,51+,52-,53+/m1/s1",8.481486,104039375,8.879,8.921,8.413,8.703,,8.413,8.413,8.413,8.413
Test set,"InChI=1S/C17H19NS/c1-11-7-8-19-16(11)13-5-6-15-14(9-13)12(2)10-17(3,4)18-15/h5-10,18H,1-4H3",7.60206,103985744,7.488,7.517,7.807,7.153,7.995,7.807,7.807,7.807,7.807
