ID,Dataset,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
73,Training,"InChI=1S/C18H15N7O/c19-18-21-15-13(11-24(22-15)9-8-12-5-2-1-3-6-12)17-20-16(23-25(17)18)14-7-4-10-26-14/h1-7,10-11H,8-9H2,(H2,19,21,22)",3.550 ,103948232,3.550 ,3.639 ,3.782 ,3.275 ,3.791 ,3.819 ,3.819 ,3.819 ,3.819 
74,Training,"InChI=1S/C22H19F3N8O2/c1-2-3-10-32-12-15-17(30-32)28-20(33-19(15)27-18(31-33)16-5-4-11-35-16)29-21(34)26-14-8-6-13(7-9-14)22(23,24)25/h4-9,11-12H,2-3,10H2,1H3,(H2,26,28,29,30,34)",6.140 ,104004407,6.140 ,6.126 ,6.181 ,5.890 ,6.192 ,6.099 ,6.099 ,6.099 ,6.099 
75,Training,"InChI=1S/C18H13BrN8O2/c1-26-9-12-14(24-26)22-17(23-18(28)20-11-6-4-10(19)5-7-11)27-16(12)21-15(25-27)13-3-2-8-29-13/h2-9H,1H3,(H2,20,22,23,24,28)",6.340 ,104004427,6.340 ,6.357 ,6.340 ,6.523 ,6.334 ,6.440 ,6.440 ,6.440 ,6.440 
76,Training,"InChI=1S/C20H18N8O2/c1-2-10-27-12-14-16(25-27)23-19(24-20(29)21-13-7-4-3-5-8-13)28-18(14)22-17(26-28)15-9-6-11-30-15/h3-9,11-12H,2,10H2,1H3,(H2,21,23,24,25,29)",6.820 ,104004431,6.820 ,6.755 ,6.741 ,6.395 ,6.784 ,6.915 ,6.915 ,6.915 ,6.915 
77,Training,"InChI=1S/C21H20N8O3/c1-3-9-28-12-15-17(26-28)24-20(25-21(30)22-13-6-4-7-14(11-13)31-2)29-19(15)23-18(27-29)16-8-5-10-32-16/h4-8,10-12H,3,9H2,1-2H3,(H2,22,24,25,26,30)",6.400 ,104004413,6.400 ,6.445 ,6.370 ,6.295 ,6.353 ,6.373 ,6.373 ,6.373 ,6.373 
78,Training,"InChI=1S/C21H19N7O2/c1-2-10-27-13-15-18(25-27)24-21(22-17(29)12-14-7-4-3-5-8-14)28-20(15)23-19(26-28)16-9-6-11-30-16/h3-9,11,13H,2,10,12H2,1H3,(H,22,24,25,29)",6.000 ,104004399,6.000 ,5.994 ,5.939 ,5.744 ,5.967 ,6.048 ,6.048 ,6.048 ,6.048 
79,Training,"InChI=1S/C18H13ClN8O2/c1-26-9-12-14(24-26)22-17(23-18(28)20-11-6-4-10(19)5-7-11)27-16(12)21-15(25-27)13-3-2-8-29-13/h2-9H,1H3,(H2,20,22,23,24,28)",6.540 ,104004404,6.540 ,6.501 ,6.515 ,6.532 ,6.510 ,6.476 ,6.476 ,6.476 ,6.476 
80,Training,"InChI=1S/C22H20N8O3/c1-2-7-29-10-16-18(27-29)25-21(30-20(16)24-19(28-30)17-4-3-8-33-17)26-22(31)23-15-6-5-13-11-32-12-14(13)9-15/h3-6,8-10H,2,7,11-12H2,1H3,(H2,23,25,26,27,31)",6.520 ,163366806,6.520 ,6.444 ,6.585 ,6.338 ,6.584 ,6.588 ,6.588 ,6.588 ,6.588 
81,Training,"InChI=1S/C20H16N8O3/c1-27-8-14-16(25-27)23-19(28-18(14)22-17(26-28)15-3-2-6-31-15)24-20(29)21-13-5-4-11-9-30-10-12(11)7-13/h2-8H,9-10H2,1H3,(H2,21,23,24,25,29)",6.620 ,163366805,6.620 ,6.610 ,6.646 ,6.533 ,6.645 ,6.580 ,6.580 ,6.580 ,6.580 
82,Training,"InChI=1S/C21H19BrN8O2/c1-2-3-10-29-12-15-17(27-29)25-20(26-21(31)23-14-8-6-13(22)7-9-14)30-19(15)24-18(28-30)16-5-4-11-32-16/h4-9,11-12H,2-3,10H2,1H3,(H2,23,25,26,27,31)",6.040 ,104004426,6.040 ,6.177 ,6.166 ,5.977 ,6.147 ,6.086 ,6.086 ,6.086 ,6.086 
83,Training,"InChI=1S/C19H16N8O3/c1-26-10-13-15(24-26)22-18(23-19(28)20-11-5-3-6-12(9-11)29-2)27-17(13)21-16(25-27)14-7-4-8-30-14/h3-10H,1-2H3,(H2,20,22,23,24,28)",6.100 ,104004424,6.100 ,5.965 ,5.986 ,6.544 ,6.016 ,6.017 ,6.017 ,6.017 ,6.017 
84,Training,"InChI=1S/C19H17N7O/c20-19-22-16-14(18-21-17(24-26(18)19)15-9-5-11-27-15)12-25(23-16)10-4-8-13-6-2-1-3-7-13/h1-3,5-7,9,11-12H,4,8,10H2,(H2,20,22,23)",3.370 ,103982210,3.370 ,3.251 ,3.166 ,3.162 ,3.166 ,3.247 ,3.247 ,3.247 ,3.247 
85,Training,"InChI=1S/C22H22N8O3/c1-3-4-11-29-13-16-18(27-29)25-21(26-22(31)23-14-7-9-15(32-2)10-8-14)30-20(16)24-19(28-30)17-6-5-12-33-17/h5-10,12-13H,3-4,11H2,1-2H3,(H2,23,25,26,27,31)",6.490 ,103992563,6.490 ,6.255 ,6.354 ,6.032 ,6.354 ,6.212 ,6.212 ,6.212 ,6.212 
86,Training,"InChI=1S/C22H21N7O2/c1-2-3-11-28-14-16-19(26-28)25-22(23-18(30)13-15-8-5-4-6-9-15)29-21(16)24-20(27-29)17-10-7-12-31-17/h4-10,12,14H,2-3,11,13H2,1H3,(H,23,25,26,30)",5.950 ,104004435,5.950 ,5.952 ,6.081 ,5.583 ,6.087 ,6.054 ,6.054 ,6.054 ,6.054 
87,Training,"InChI=1S/C21H18Cl2N8O2/c1-2-3-8-30-11-13-17(28-30)26-20(27-21(32)24-12-6-7-14(22)15(23)10-12)31-19(13)25-18(29-31)16-5-4-9-33-16/h4-7,9-11H,2-3,8H2,1H3,(H2,24,26,27,28,32)",5.430 ,104004415,5.430 ,5.417 ,5.393 ,5.787 ,5.396 ,5.488 ,5.488 ,5.488 ,5.488 
88,Training,"InChI=1S/C23H24N8O3/c1-14(2)10-11-30-13-17-19(28-30)26-22(27-23(32)24-15-6-8-16(33-3)9-7-15)31-21(17)25-20(29-31)18-5-4-12-34-18/h4-9,12-14H,10-11H2,1-3H3,(H2,24,26,27,28,32)",4.520 ,103992555,4.520 ,4.628 ,4.516 ,5.165 ,4.535 ,4.792 ,4.792 ,4.792 ,4.792 
89,Training,"InChI=1S/C21H28N8O2/c1-4-5-6-10-22-21(30)25-20-24-17-15(13-28(26-17)11-9-14(2)3)19-23-18(27-29(19)20)16-8-7-12-31-16/h7-8,12-14H,4-6,9-11H2,1-3H3,(H2,22,24,25,26,30)",5.090 ,104045432,5.090 ,5.076 ,5.093 ,4.537 ,5.081 ,5.134 ,5.134 ,5.134 ,5.134 
90,Training,"InChI=1S/C22H21ClN8O2/c1-13(2)8-9-30-12-16-18(28-30)26-21(27-22(32)24-15-6-3-5-14(23)11-15)31-20(16)25-19(29-31)17-7-4-10-33-17/h3-7,10-13H,8-9H2,1-2H3,(H2,24,26,27,28,32)",4.400 ,103992556,4.400 ,4.391 ,4.505 ,5.191 ,4.531 ,4.495 ,4.495 ,4.495 ,4.495 
